construction,p,q,condition_sa,condition_sb,truth_gc,truth_cs,status,error,gc,gaussian_te,gaussian_cmi,direct_cs,spectral_gc,spectral_cs,max_rho2,rank,abs_gc_spectral_error,abs_cs_spectral_error,abs_te_cmi_error,abs_gc_truth_error,abs_cs_truth_error,abs_spectral_gc_truth_error,abs_spectral_cs_truth_error
40,2,4,650325.3328779205,81.33697942625587,0.9441306391119723,0.30579535800160096,ok,,0.944130639106671,0.4720653195533355,0.4720653195533355,0.30579535799971147,0.9441306391264903,0.30579535800718316,0.609489731407884,2,1.9819257346398444e-11,7.471689933424841e-12,0.0,5.30120392028266e-12,1.889488565609554e-12,1.4518053426115785e-11,5.582201367815287e-12
41,5,3,26171326.092496213,1567.9564993223626,0.3970617064500349,0.10648288234857953,ok,,0.3970617064551898,0.1985308532275949,0.1985308532275949,0.1064828823446895,0.3970617064389534,0.10648288234541828,0.198187184458016,3,1.623640111247937e-11,7.287781489395684e-13,0.0,5.154876525637064e-12,3.890027189257239e-12,1.1081524586842306e-11,3.1612490403176707e-12
42,3,3,5.574550222311849,44755.534704515485,2.944017478657854,0.9642346095248653,ok,,2.9440174786579747,1.4720087393289873,1.4720087393289873,0.9642346095247936,2.944017478657289,0.9642346095246419,0.6631041364566312,3,6.856737400084967e-13,1.5165646516379638e-13,0.0,1.2079226507921703e-13,7.172040739078511e-14,5.648814749292796e-13,2.233768725545815e-13
43,4,2,163.1307990353435,25.856304189281204,0.24825406074748013,0.0665722101048995,ok,,0.2482540607474789,0.12412703037373946,0.12412703037373946,0.06657221010489778,0.2482540607474802,0.06657221010489953,0.19900999855365104,2,1.27675647831893e-15,1.7486012637846216e-15,0.0,1.2212453270876722e-15,1.7208456881689926e-15,5.551115123125783e-17,2.7755575615628914e-17
44,3,3,1365463.456273746,35661.98409105254,0.8950456077374502,0.27463669624999365,ok,,0.895045607754207,0.4475228038771035,0.4475228038771035,0.27463669625348963,0.8950456077505595,0.2746366962546888,0.5431987548755074,3,3.647526725103489e-12,1.1991518888976316e-12,0.0,1.6756818155272413e-11,3.4959812822421554e-12,1.3109291430168923e-11,4.695133171139787e-12
45,2,4,53.812145117257884,4091095.8032080503,1.7467939638546837,0.6101084881308374,ok,,1.7467939638390337,0.8733969819195169,0.8733969819195169,0.6101084881618961,1.7467939637689078,0.6101084880937357,0.7901729438111087,2,7.012590508281846e-11,6.816036624002209e-11,0.0,1.5649925799721132e-11,3.105871115849368e-11,8.57758308825396e-11,3.7101655081528406e-11
46,4,4,806.7920568918731,60917762.117924646,0.6551150021716995,0.18426655931141533,ok,,0.6551150020049201,0.32755750100246006,0.32755750100246006,0.18426655937489667,0.6551150022333706,0.18426655933107997,0.3751515991304725,4,2.28450480754816e-10,4.381670026809559e-11,0.0,1.6677936809372795e-10,6.348133130273936e-11,6.167111266108805e-11,1.9664631034643776e-11
47,5,2,11.382042097591649,2.064029473981204,0.19769240457819454,0.052837943982696256,ok,,0.1976924045781945,0.09884620228909725,0.09884620228909725,0.0528379439826967,0.19769240457819462,0.05283794398269628,0.17635170675655298,2,1.1102230246251565e-16,4.2327252813834093e-16,0.0,2.7755575615628914e-17,4.440892098500626e-16,8.326672684688674e-17,2.0816681711721685e-17
48,5,1,14592.78258589192,1.0,17.570818749450815,8.497727310071372,ok,,17.570819288048924,8.785409644024462,8.785409644024462,8.497727898047948,17.57081589241473,8.497725881553352,0.9999999766066933,1,3.3956341951579816e-06,2.0164945961909098e-06,0.0,5.385981083350089e-07,5.879765758720623e-07,2.8570360868229727e-06,1.4285180203188474e-06
49,3,4,40.69521116701581,29.324397736172024,0.6678385120921027,0.18154311267048978,ok,,0.6678385120921027,0.3339192560460513,0.3339192560460513,0.18154311267049028,0.667838512092102,0.1815431126704896,0.25759689341998215,3,6.661338147750939e-16,6.938893903907228e-16,0.0,0.0,4.996003610813204e-16,6.661338147750939e-16,1.942890293094024e-16
