construction,designed_te,seed,orientation,eta,bandwidth,sample_gc,sample_gaussian_te,sample_canonical_cs,kde_cs
10,0.13996571917997003,1192238522,official-featurewise,0.02,0.3428605630099193,0.3522866217807978,0.1761433108903989,0.09901347088289651,0.0874624605456713
10,0.13996571917997003,1192238522,official-featurewise,0.05,0.8571514075247983,0.3522866217807978,0.1761433108903989,0.09901347088289651,0.017741875360822945
10,0.13996571917997003,1192238522,official-featurewise,0.2,3.4286056300991934,0.3522866217807978,0.1761433108903989,0.09901347088289651,1.9205169564884272e-05
10,0.13996571917997003,1192238522,samplewise,0.02,0.03437283883973668,0.3522866217807978,0.1761433108903989,0.09901347088289651,0.16541304760968245
10,0.13996571917997003,1192238522,samplewise,0.05,0.0859320970993417,0.3522866217807978,0.1761433108903989,0.09901347088289651,0.22504029399141778
10,0.13996571917997003,1192238522,samplewise,0.2,0.3437283883973668,0.3522866217807978,0.1761433108903989,0.09901347088289651,0.0872466887280634
11,0.3135851722588143,1303990961,official-featurewise,0.02,0.37755607040561534,0.5802354711588581,0.29011773557942905,0.17351833913078818,0.08517563373511194
11,0.3135851722588143,1303990961,official-featurewise,0.05,0.9438901760140385,0.5802354711588581,0.29011773557942905,0.17351833913078818,0.019616346521917905
11,0.3135851722588143,1303990961,official-featurewise,0.2,3.775560704056154,0.5802354711588581,0.29011773557942905,0.17351833913078818,2.6666585320356262e-05
11,0.3135851722588143,1303990961,samplewise,0.02,0.038117795403198595,0.5802354711588581,0.29011773557942905,0.17351833913078818,0.1960402359496296
11,0.3135851722588143,1303990961,samplewise,0.05,0.09529448850799649,0.5802354711588581,0.29011773557942905,0.17351833913078818,0.23394984160555676
11,0.3135851722588143,1303990961,samplewise,0.2,0.38117795403198595,0.5802354711588581,0.29011773557942905,0.17351833913078818,0.08443415655325026
12,0.43735881995483983,569243195,official-featurewise,0.02,0.41080289043447804,0.8143013522423534,0.4071506761211767,0.25718459491551654,0.08611897089857656
12,0.43735881995483983,569243195,official-featurewise,0.05,1.027007226086195,0.8143013522423534,0.4071506761211767,0.25718459491551654,0.015751594089049803
12,0.43735881995483983,569243195,official-featurewise,0.2,4.10802890434478,0.8143013522423534,0.4071506761211767,0.25718459491551654,2.250420168081746e-05
12,0.43735881995483983,569243195,samplewise,0.02,0.03905988769660442,0.8143013522423534,0.4071506761211767,0.25718459491551654,0.1840400104248605
12,0.43735881995483983,569243195,samplewise,0.05,0.09764971924151106,0.8143013522423534,0.4071506761211767,0.25718459491551654,0.19986471444235399
12,0.43735881995483983,569243195,samplewise,0.2,0.39059887696604423,0.8143013522423534,0.4071506761211767,0.25718459491551654,0.09107254104350382
