construction,p,q,spectral_radius,condition_state_cov,status,error,gc,gaussian_te,gaussian_cmi,direct_cs,spectral_gc,spectral_cs,max_rho2,rank,abs_gc_spectral_error,abs_cs_spectral_error,abs_te_cmi_error
135,2,3,0.6384304824088946,9.411365895038701,ok,,0.4380344303035768,0.2190172151517884,0.2190172151517884,0.12225911735906925,0.43803443030357686,0.12225911735906944,0.3131687547288424,2,5.551115123125783e-17,1.942890293094024e-16,0.0
136,4,1,0.4283488774621757,7.62843685859425,ok,,0.047654140187791016,0.023827070093895508,0.023827070093895508,0.01212473780981993,0.04765414018779103,0.012124737809819744,0.0465365052368541,1,1.3877787807814457e-17,1.8561541192951836e-16,0.0
137,3,4,0.666052650894029,17.091877100935072,ok,,0.9175955958742821,0.45879779793714104,0.45879779793714104,0.27559735382961836,0.9175955958742822,0.2755973538296167,0.5181349785164856,3,1.1102230246251565e-16,1.6653345369377348e-15,0.0
138,2,5,0.5951505969063035,9.329295139737162,ok,,0.28207620972479575,0.14103810486239787,0.14103810486239787,0.07725782063321329,0.28207620972479613,0.07725782063321357,0.23999175572061368,2,3.885780586188048e-16,2.7755575615628914e-16,0.0
139,4,3,0.6613738909167544,11.483391480613,ok,,1.0708342949816634,0.5354171474908317,0.5354171474908317,0.3206201666051065,1.0708342949816632,0.32062016660510534,0.538390129165725,3,2.220446049250313e-16,1.1657341758564144e-15,0.0
140,2,4,0.8035342695277273,8.772628629766706,ok,,0.6046556553239153,0.30232782766195765,0.30232782766195765,0.17959202722708945,0.6046556553239151,0.17959202722708834,0.43967981764130876,2,2.220446049250313e-16,1.1102230246251565e-15,0.0
141,1,5,0.6388710928871514,11.135787876001364,ok,,0.1635717497099125,0.08178587485495625,0.08178587485495625,0.04333231653484759,0.1635717497099122,0.043332316534847225,0.15089442626267546,1,3.0531133177191805e-16,3.677613769070831e-16,0.0
142,2,4,0.2365440956462423,9.219839484191407,ok,,0.10797071504380318,0.05398535752190159,0.05398535752190159,0.0275657146460917,0.10797071504380343,0.027565714646091276,0.0649260025306815,2,2.498001805406602e-16,4.2327252813834093e-16,0.0
143,5,1,0.7743687455502287,21.10168692621824,ok,,0.6873351244033465,0.34366756220167327,0.34366756220167327,0.2109685343403882,0.6873351244033462,0.2109685343403886,0.4970855105377717,1,3.3306690738754696e-16,3.885780586188048e-16,0.0
144,5,2,0.7209755008121046,16.06030509446108,ok,,1.5526261900629825,0.7763130950314913,0.7763130950314913,0.4999445909367646,1.5526261900629814,0.49994459093676313,0.6735832116996961,2,1.1102230246251565e-15,1.4432899320127035e-15,0.0
