edge_id,source,target,gc,gaussian_te_cmi,canonical_cs,component_te_1,component_te_2,spectrum_spread_h,rank_one_gap_q,normalized_gap_qn,abs_gc_spectrum_error
000001.SS+399001.SZ->^KS11+^STOXX50E,000001.SS;399001.SZ,^KS11;^STOXX50E,0.01102147705890033,0.005510738529450165,0.002766159492302698,0.005367015091583459,0.00014372343786757738,0.10160165777068504,5.76928920934059e-07,0.10160162962541354,1.7416623698807143e-15
000001.SS+399001.SZ->^N100+^N225,000001.SS;399001.SZ,^N100;^N225,0.03242791208779039,0.016213956043895195,0.008200186451977719,0.015802023292282988,0.00041193275161154297,0.09904237115939538,4.842348286846973e-06,0.09904214464889502,1.3253287356462806e-15
000001.SS+399001.SZ->^N100+^NZ50,000001.SS;399001.SZ,^N100;^NZ50,0.013889798611089077,0.0069448993055445385,0.003489880052992447,0.006824410815972835,0.00012048848957088005,0.06819284468823684,6.145533481684111e-07,0.06819281375798887,1.6479873021779667e-15
000001.SS+399001.SZ->^N100+^STI,000001.SS;399001.SZ,^N100;^STI,0.0063086759000619,0.00315433795003095,0.0015808420782703206,0.003131237120888425,2.3100829141842813e-05,0.029079509330156218,5.4165023475336374e-08,0.029079506473408453,1.3643600138557588e-15
000001.SS+399001.SZ->^N100+^STOXX50E,000001.SS;399001.SZ,^N100;^STOXX50E,0.01254640762779502,0.00627320381389751,0.003150640170722569,0.006122853730205541,0.00015035008369354935,0.09357045784492028,6.882608750728367e-07,0.09357042405743855,3.1606661732297425e-15
000001.SS+399001.SZ->^N225+^NZ50,000001.SS;399001.SZ,^N225;^NZ50,0.007965012280834571,0.003982506140417286,0.0019967484425897747,0.0038273968585662084,0.0001551092818515978,0.14972294684747836,4.4436140918951983e-07,0.14972292620699723,1.0408340855860843e-15
000001.SS+399001.SZ->^N225+^STI,000001.SS;399001.SZ,^N225;^STI,0.012769614916358307,0.006384807458179154,0.0032045772221555454,0.005656166495122367,0.0007286409630575186,0.40438975920251924,3.0811084573640138e-06,0.4043896598690026,1.4641066137244252e-15
000001.SS+399001.SZ->^N225+^STOXX50E,000001.SS;399001.SZ,^N225;^STOXX50E,0.03625761474794231,0.018128807373971156,0.009184769473807164,0.017969087696432656,0.00015971967753846094,0.03493059435828903,2.1329453662628783e-06,0.03493048837733968,7.632783294297951e-17
000001.SS+399001.SZ->^NZ50+^STI,000001.SS;399001.SZ,^NZ50;^STI,0.0023628371285298044,0.0011814185642649022,0.0005910603721924384,0.0009361392051347452,0.00024527935912962284,0.6580423521327554,1.721099728476663e-07,0.6580423486131667,1.068155980332719e-15
000001.SS+399001.SZ->^NZ50+^STOXX50E,000001.SS;399001.SZ,^NZ50;^STOXX50E,0.011154608265776744,0.005577304132888372,0.0027996136412113226,0.005408813094832454,0.00016849103805673858,0.11718988196070161,6.815946276103775e-07,0.1171898492962558,1.6410484082740595e-15
