repetition,status,standardized_slope,directional_accuracy,predicted_reversal_fraction,reversal_risk_difference,temporal_predicted_sign_retention,temporal_both_signs_retention
94,ok,0.9999999999788253,0.5293454431569057,0.05966861891174851,0.05966861891174851,0.5064326892191172,0.0
95,ok,0.9999999999802525,0.5586296209088768,0.11668728279436885,0.11668728279436885,0.5084275836418657,0.0001926040061633282
96,ok,0.9999999999818187,0.5364980645579256,0.07588478429346422,0.07588478429346422,0.48425216817974337,0.0001926040061633282
97,ok,0.9999999999561474,0.5612616564007704,0.12660390251309694,0.12660390251309694,0.5149701611130835,0.0
98,ok,0.9999999999611304,0.5970350404312669,0.1933090516659922,0.1933090516659922,0.5055535832023127,0.0001926040061633282
99,ok,0.9999999999800282,0.5383378983451149,0.07169711760437966,0.07169711760437966,0.5388581765312506,0.0
100,ok,0.9999999999795524,0.5428619986403806,0.09119167483190864,0.09119167483190864,0.5263816334466027,0.0001926040061633282
101,ok,0.9999999999700027,0.5266468466980483,0.05428296438883542,0.05428296438883542,0.5391286706902673,0.0001926040061633282
102,ok,0.9999999999726413,0.5335049594911789,0.06696753089411195,0.06696753089411195,0.5403797061757197,0.0003852080123266564
103,ok,0.9999999999804905,0.5819213554987213,0.16300652026081044,0.16300652026081044,0.5247079508376866,0.0
104,ok,0.9999999999695729,0.5890975526852481,0.17903225806451614,0.17903225806451614,0.5182837145610387,0.0003852080123266564
105,ok,0.9999999999658166,0.5871351728259787,0.17245682340021962,0.17245682340021962,0.5366773173741779,0.0005778120184899846
106,ok,0.9999999999675909,0.5612194845866506,0.1191486138463869,0.1191486138463869,0.53130124596372,0.000963020030816641
107,ok,0.9999999999781054,0.5574687980545722,0.1152539949236764,0.1152539949236764,0.5088164189954523,0.0007704160246533128
108,ok,0.9999999998949799,0.6163434552855807,0.24205794205794207,0.24205794205794207,0.5372183056922114,0.0011556240369799693
109,ok,0.9999999999574682,0.5476588471723982,0.09560645888096132,0.09560645888096132,0.5368125644536863,0.0
110,ok,0.9999999999604505,0.5938655944859276,0.18354810401367141,0.18354810401367141,0.4933137225068046,0.0003852080123266564
111,ok,0.9999999999791895,0.570989816261652,0.1444842406876791,0.1444842406876791,0.5348852935706919,0.0001926040061633282
112,ok,0.9999999999692349,0.5743591666822929,0.15472555299024354,0.15472555299024354,0.539923247282379,0.0003852080123266564
113,ok,0.9999999999756604,0.5867022517792556,0.17086515111618245,0.17086515111618245,0.4839816740207266,0.0003852080123266564
114,ok,0.9999999999640948,0.551784993949173,0.10084968642524783,0.10084968642524783,0.5290527632668932,0.0001926040061633282
115,ok,0.9999999999743894,0.6047559031767802,0.21144103834633732,0.21144103834633732,0.5073963246606144,0.0005778120184899846
116,ok,0.9999999999371537,0.5924367172656139,0.17885074503992757,0.17885074503992757,0.5364575408699769,0.0001926040061633282
117,ok,0.9999999999776725,0.5545840619535348,0.11188593487329557,0.11188593487329557,0.5216987033186252,0.0001926040061633282
118,ok,0.9999999999708021,0.5627145497755479,0.12478712784074227,0.12478712784074227,0.4982164291389833,0.0005778120184899846
119,ok,0.9999999999364658,0.5604288125191776,0.12351344116859776,0.12351344116859776,0.5440820949772616,0.0001926040061633282
120,ok,0.9999999999845433,0.5533336225220145,0.10709330558446063,0.10709330558446063,0.4952917110446146,0.0001926040061633282
121,ok,0.9999999999476779,0.5455108151964803,0.08780176610818252,0.08780176610818252,0.5294754103903568,0.0003852080123266564
122,ok,0.9999999999838881,0.547321315221531,0.09294413176889567,0.09294413176889567,0.5173369850044801,0.0001926040061633282
123,ok,0.9999999999666099,0.5595701604111509,0.12313476221851866,0.12313476221851866,0.5057902655914523,0.0001926040061633282
