repetition,gc_low_edge,gc_high_edge,cs_low_edge,cs_high_edge,gc_order_retained,cs_reverse_retained,both_retained
71,0.2945838388723132,0.19831433105097318,0.0813681421186722,0.05300084672320249,0,1,0
72,0.23303123180764374,0.1297146120622159,0.06314338644563297,0.033969195878358005,0,1,0
73,0.43055306697733897,0.3465822614591225,0.12352851538666076,0.09723284536398047,0,1,0
74,0.2813410014994666,0.17052235833026685,0.07699754833003353,0.04523505902212434,0,1,0
75,0.4399233609878195,0.30916818905989274,0.1261343511536197,0.08577005458058942,0,1,0
76,0.3172313749347424,0.14853074505382935,0.08810699537840737,0.039136261957824596,0,1,0
77,0.43335888937560796,0.23058166326418927,0.12388199062104477,0.062413839713155214,0,1,0
78,0.38507666634415116,0.24589334369289872,0.10924791085519935,0.06690617909096547,0,1,0
79,0.18509889879213404,0.1292865867330768,0.04936252884284876,0.03383632765590282,0,1,0
80,0.31629011640236726,0.17361040250144555,0.08786805382706589,0.046050435301956925,0,1,0
81,0.33064261547511364,0.18007335461847873,0.0916879468386745,0.04794942412465539,0,1,0
82,0.19983173363329598,0.16328875351442917,0.053563652706148705,0.04317188982296294,0,1,0
83,0.25447166401251664,0.19786832439247348,0.06935905548000357,0.05289681881267917,0,1,0
84,0.3686105101737951,0.2243242859806145,0.10408021058770074,0.060566702493175285,0,1,0
85,0.35780844503253206,0.29738552437441257,0.10072819387210973,0.08217019090055991,0,1,0
86,0.3615801117638142,0.24212969338348245,0.10181782968596448,0.06577650503827612,0,1,0
87,0.21703511150915844,0.1448553560667385,0.05842700550372096,0.038124471694582676,0,1,0
88,0.3066207901459137,0.17033507635802891,0.08421454475965166,0.04516520225668754,0,1,0
89,0.3088161921131345,0.16371598067393478,0.08562401926499369,0.04310524988438387,0,1,0
90,0.27357526135606847,0.23315748573642026,0.07508633761578308,0.06316275028400443,0,1,0
91,0.26617549139324126,0.2096345571613547,0.07263909008193495,0.0563707643714678,0,1,0
92,0.17462628321768392,0.1303884306147225,0.046334456728996914,0.03414042775872468,0,1,0
93,0.28046867636011186,0.1696277947209346,0.07710338017704967,0.044885593163462675,0,1,0
94,0.2838078357741516,0.23720804751061308,0.07809897802430942,0.0643326123515438,0,1,0
95,0.35302768261112405,0.22751598351988278,0.09900897939112502,0.061543311822454094,0,1,0
96,0.3197464324307937,0.14502305887428335,0.08870383590291439,0.03811249566418976,0,1,0
97,0.37736795294561887,0.23868648032681605,0.10678859034943015,0.06473058930311573,0,1,0
98,0.2265641731466559,0.16973345018192987,0.06102800824230198,0.045042642290604236,0,1,0
99,0.38837108138771725,0.22857222107014508,0.11021040622200087,0.061704831492691146,0,1,0
100,0.268108961283275,0.2063698045405431,0.07346023587216019,0.05544357757233988,0,1,0
101,0.29260659341144546,0.12177043587428216,0.08066710937779574,0.03174866375760342,0,1,0
102,0.2538069726255259,0.16679796698428717,0.06908152087622765,0.04422801062721683,0,1,0
103,0.19973957646667984,0.10028460931823346,0.05328231121056088,0.025938646240889644,0,1,0
104,0.3052828320098371,0.21760808756337013,0.0845894539277488,0.058670669377002334,0,1,0
105,0.2909713219220933,0.22674661698534493,0.08027455563762176,0.061254656845674646,0,1,0
106,0.29985009466394175,0.21425746077665764,0.08252827624637397,0.05771252397293599,0,1,0
107,0.27860072894838694,0.142075238228081,0.07632026063310038,0.0373647488470424,0,1,0
108,0.35373014471957376,0.1901678434854901,0.09926435789635206,0.05075707050319771,0,1,0
109,0.24227714859559768,0.2094631494766226,0.06570901522466921,0.056324253841105086,0,1,0
110,0.34985875422094637,0.1792045106720721,0.09796240362475779,0.04761500289129461,0,1,0
111,0.35692671410865273,0.21788148383355832,0.10011709364664863,0.05872515935848136,0,1,0
112,0.28811631626916423,0.20376611953678747,0.07943145405538611,0.05467591612355917,0,1,0
113,0.34271276635011105,0.2198814908930018,0.09599405536613362,0.059224930147074535,0,1,0
114,0.35972395911496235,0.2247306208884332,0.10124384425962073,0.060727699238029335,0,1,0
115,0.2798518292645795,0.1968364826748541,0.0768934120492887,0.05271813307649723,0,1,0
116,0.29567746799701666,0.20950558123480434,0.08137782289300954,0.05617243031202365,0,1,0
117,0.4215007400809512,0.19411852646311445,0.12079526167701853,0.05194161726685223,0,1,0
118,0.42849558962058154,0.32290261269231024,0.12305846562608574,0.0898720346296076,0,1,0
119,0.3678105503774951,0.17087300385101756,0.10283125119822571,0.045375284334076345,0,1,0
120,0.2331147602670356,0.18775730900070187,0.06299837434873273,0.050125356964839614,0,1,0
121,0.23682675824353794,0.14699928720366273,0.06403128643666933,0.038706250941833574,0,1,0
122,0.3777456623867259,0.2759369828177398,0.10590057466145367,0.0757748609000253,0,1,0
123,0.345096213065073,0.21870314261201784,0.09613892213633428,0.058934164512399,0,1,0
124,0.28806732327510787,0.1489142053506498,0.07929465595673098,0.03923242943786136,0,1,0
125,0.22778080601619877,0.15089371619982472,0.061600313553686704,0.03980213581025938,0,1,0
126,0.35259373239309255,0.16055633153310822,0.09871060900581179,0.0424211344197665,0,1,0
127,0.26176143379307604,0.16867994555316912,0.07137816231529573,0.04473296950788478,0,1,0
128,0.2490421409125254,0.1822457343248729,0.06782978019732132,0.048469483436995545,0,1,0
129,0.4783222602152293,0.3387856121173378,0.13875890552602757,0.0948046067423082,0,1,0
130,0.13688063061372446,0.18916798422293724,0.035933702829700535,0.05049674350114142,1,0,0
131,0.3443874657295467,0.19565653259157045,0.09654751825432337,0.0523171193953907,0,1,0
132,0.22342033683168339,0.14142654094355223,0.06035419420070623,0.037156244204114106,0,1,0
133,0.37820789477312644,0.24644170690116596,0.10699809162539846,0.06706737625909971,0,1,0
134,0.25438448185610696,0.21951534129232186,0.06929713810838582,0.059201582160296945,0,1,0
135,0.28735883131655626,0.1241322269752203,0.07889232770814646,0.03237155367865492,0,1,0
136,0.19421933339723196,0.18090045203121718,0.05193126649616181,0.04819837047206986,0,1,0
137,0.2307189563324954,0.16277530342184576,0.0624322602625369,0.04309467114188731,0,1,0
138,0.30580437255176207,0.22038596087399753,0.08466285583471084,0.0594173750324636,0,1,0
139,0.21933760114908551,0.19421500177246998,0.059150335587004985,0.051952799115432324,0,1,0
140,0.3161593704350132,0.19110835327217046,0.08789160570306888,0.05105598833449211,0,1,0
141,0.28900164769409287,0.13319572226973975,0.0796977152538268,0.03492326479241197,0,1,0
142,0.19102062091190675,0.19553817265709483,0.05090860522229874,0.052265987500210956,1,0,0
