split,edge_id,source,target,gc,gaussian_te,gaussian_cmi,canonical_cs,gc_canonical_error,scalar_mapped_cs,abs_scalar_map_error
discovery,^STI->^N225,^STI,^N225,0.015146822025771556,0.007573411012885778,0.007573411012885778,0.003808159865611299,-4.371503159461554e-16,0.0038081598656111893,1.0972125985553305e-16
discovery,^STI->^NZ50,^STI,^NZ50,0.014647457148686982,0.007323728574343491,0.007323728574343491,0.003681929015109886,-6.505213034913027e-16,0.0036819290151097663,1.196959198423997e-16
discovery,^STI->^STOXX50E,^STI,^STOXX50E,0.002185731311870498,0.001092865655935249,0.001092865655935249,0.0005468805480399226,-2.3548871186385156e-16,0.0005468805480398405,8.207410445715269e-17
discovery,^STOXX50E->000001.SS,^STOXX50E,000001.SS,0.010592766159360778,0.005296383079680389,0.005296383079680389,0.0026586923337715194,-9.08995101411847e-16,0.002658692333771264,2.5543803183758484e-16
discovery,^STOXX50E->399001.SZ,^STOXX50E,399001.SZ,0.0038704645048088793,0.0019352322524044396,0.0019352322524044396,0.0009690196414750133,-5.35162192338845e-16,0.0009690196414748718,1.4148838350935833e-16
discovery,^STOXX50E->IMOEX.ME,^STOXX50E,IMOEX.ME,0.01327457150769007,0.006637285753845035,0.006637285753845035,0.0033351263833073285,7.511352650979575e-16,0.0033351263833075713,2.42861286636753e-16
discovery,^STOXX50E->^AXJO,^STOXX50E,^AXJO,0.13942123365960946,0.06971061682980473,0.06971061682980473,0.03663498338180463,8.604228440844963e-16,0.036634983381804855,2.220446049250313e-16
discovery,^STOXX50E->^DJI,^STOXX50E,^DJI,0.0012199356929389893,0.0006099678464694946,0.0006099678464694946,0.0003051234176543104,1.1407975258892478e-15,0.0003051234176546253,3.1490652099841476e-16
discovery,^STOXX50E->^GSPC,^STOXX50E,^GSPC,0.0017473825958465028,0.0008736912979232514,0.0008736912979232514,0.0004371318167691747,-6.70687463899533e-16,0.000437131816769024,1.5070410197548512e-16
discovery,^STOXX50E->^HSI,^STOXX50E,^HSI,0.07798341181787194,0.03899170590893597,0.03899170590893597,0.02005854190801253,-8.743006318923108e-16,0.020058541908012324,2.0469737016526324e-16
discovery,^STOXX50E->^IXIC,^STOXX50E,^IXIC,0.0015315847134509397,0.0007657923567254699,0.0007657923567254699,0.00038311603644584696,1.6735744734486246e-15,0.0003831160364463018,4.548228113576691e-16
discovery,^STOXX50E->^KS11,^STOXX50E,^KS11,0.07417024377802939,0.037085121889014694,0.037085121889014694,0.019051897988728327,9.71445146547012e-17,0.019051897988728327,0.0
discovery,^STOXX50E->^N100,^STOXX50E,^N100,0.00040199308944899315,0.00020099654472449657,0.00020099654472449657,0.00010051342120105027,1.0854490049838628e-15,0.00010051342120138581,3.3554701985710755e-16
discovery,^STOXX50E->^N225,^STOXX50E,^N225,0.1713947870100938,0.0856973935050469,0.0856973935050469,0.04552334114307056,1.3600232051658168e-15,0.04552334114307099,4.3021142204224816e-16
discovery,^STOXX50E->^NZ50,^STOXX50E,^NZ50,0.05142991062352387,0.025714955311761933,0.025714955311761933,0.013103317740061243,1.8041124150158794e-16,0.013103317740061324,8.153200337090993e-17
discovery,^STOXX50E->^STI,^STOXX50E,^STI,0.051598296739509664,0.025799148369754832,0.025799148369754832,0.01314701966265103,5.551115123125783e-17,0.013147019662651001,2.949029909160572e-17
confirmation,000001.SS->399001.SZ,000001.SS,399001.SZ,0.0015859678787872866,0.0007929839393936433,0.0007929839393936433,0.0003967277161830843,-9.987670412936467e-16,0.0003967277161828447,2.396086801192965e-16
confirmation,000001.SS->IMOEX.ME,000001.SS,IMOEX.ME,0.00010966742998519408,5.483371499259704e-05,5.483371499259704e-05,2.7417985001774964e-05,1.0821692934120941e-16,2.741798500185907e-05,8.410698353056301e-17
confirmation,000001.SS->^AXJO,000001.SS,^AXJO,0.007519074565122352,0.003759537282561176,0.003759537282561176,0.0018850622911804045,5.160802341031001e-16,0.0018850622911805628,1.5829351718288365e-16
confirmation,000001.SS->^DJI,000001.SS,^DJI,7.0413633945776155e-06,3.5206816972888078e-06,3.5206816972888078e-06,1.7603454968166365e-06,8.866910298447467e-17,1.760345496851534e-06,3.489754566864036e-17
confirmation,000001.SS->^GSPC,000001.SS,^GSPC,0.00019320922202581414,9.660461101290707e-05,9.660461101290707e-05,4.8305805062714e-05,4.771573761108705e-16,4.83058050628833e-05,1.6929816923361152e-16
confirmation,000001.SS->^HSI,000001.SS,^HSI,0.003771308643282012,0.001885654321641006,0.001885654321641006,0.0009441597071058081,-5.403663627667754e-16,0.000944159707105617,1.9114484300919443e-16
confirmation,000001.SS->^IXIC,000001.SS,^IXIC,0.0002695222915267692,0.0001347611457633846,0.0001347611457633846,6.738738278808797e-05,3.384879182499745e-16,6.738738278820465e-05,1.1668725881375241e-16
confirmation,000001.SS->^KS11,000001.SS,^KS11,0.0010598664211389774,0.0005299332105694887,0.0005299332105694887,0.0002650718976341915,-1.5762131183594263e-15,0.0002650718976337909,4.006127027333939e-16
confirmation,000001.SS->^N100,000001.SS,^N100,0.0012234523343845893,0.0006117261671922947,0.0006117261671922947,0.0003060033833186772,-1.0820337681405334e-16,0.00030600338331869103,1.3823577699190182e-17
confirmation,000001.SS->^N225,000001.SS,^N225,0.0034059597590410107,0.0017029798795205053,0.0017029798795205053,0.0008525768749453608,3.2395960913866872e-16,0.0008525768749454117,5.084908188957016e-17
confirmation,000001.SS->^NZ50,000001.SS,^NZ50,5.18929777175714e-05,2.59464888587857e-05,2.59464888587857e-05,1.297349688491452e-05,-3.9439886903233634e-16,1.2973496884796347e-05,1.1817295460323646e-16
confirmation,000001.SS->^STI,000001.SS,^STI,0.0003376880213643574,0.0001688440106821787,0.0001688440106821787,8.443269535188075e-05,-2.938187887435717e-17,8.443269535183974e-05,4.1009947174264205e-17
confirmation,000001.SS->^STOXX50E,000001.SS,^STOXX50E,4.285144770577176e-06,2.142572385288588e-06,2.142572385288588e-06,1.0712879142280556e-06,-4.153231239283593e-16,1.071287914094371e-06,1.3368466896630446e-16
confirmation,399001.SZ->000001.SS,399001.SZ,000001.SS,2.60896373553976e-05,1.30448186776988e-05,1.30448186776988e-05,6.522473151497511e-06,-7.608320982781247e-16,6.522473151340754e-06,1.5675699941656435e-16
