experiment_kind,model,dimension,component_te_spec,sample_size,seed,source_scale,eta,bandwidth_orientation,median,sigma,kde_cs,theory_te,theory_gc,theory_cs,theory_rho2,sample_gc,sample_te,sample_canonical_cs,sample_rho2,gc_vs_canonical_error
main,equal_gc_spread,2,0.5;0.5,1024,47,1.0,0.2,samplewise,3.292696369098204,0.6585392738196408,0.1174880430110079,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",1.9205353286951183,0.9602676643475592,0.625105233760745,0.623134749845;0.611191267543,-1.2656542480726785e-14
main,equal_gc_spread,2,0.5;0.5,1024,71,1.0,0.02,official-featurewise,42.28332226098566,0.8456664452197132,0.05876396093009717,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",1.9362048856364846,0.9681024428182423,0.6319177348393946,0.652121828841;0.585342309902,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,71,1.0,0.02,samplewise,3.126032729454191,0.06252065458908382,0.1570213546187702,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",1.9362048856364846,0.9681024428182423,0.6319177348393946,0.652121828841;0.585342309902,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,71,1.0,0.05,official-featurewise,42.28332226098566,2.1141661130492833,0.002500173104827752,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",1.9362048856364846,0.9681024428182423,0.6319177348393946,0.652121828841;0.585342309902,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,71,1.0,0.05,samplewise,3.126032729454191,0.15630163647270956,0.21148779619081104,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",1.9362048856364846,0.9681024428182423,0.6319177348393946,0.652121828841;0.585342309902,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,71,1.0,0.2,official-featurewise,42.28332226098566,8.456664452197133,3.404624671077272e-07,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",1.9362048856364846,0.9681024428182423,0.6319177348393946,0.652121828841;0.585342309902,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,71,1.0,0.2,samplewise,3.126032729454191,0.6252065458908382,0.12243798147779827,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",1.9362048856364846,0.9681024428182423,0.6319177348393946,0.652121828841;0.585342309902,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,101,1.0,0.02,official-featurewise,44.464626298069206,0.8892925259613841,0.06205546715522203,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",2.0067224068813876,1.0033612034406938,0.659357892928669,0.664246659513;0.599621092933,3.9968028886505635e-15
main,equal_gc_spread,2,0.5;0.5,1024,101,1.0,0.02,samplewise,3.3395856587540793,0.06679171317508159,0.1613085185439802,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",2.0067224068813876,1.0033612034406938,0.659357892928669,0.664246659513;0.599621092933,3.9968028886505635e-15
main,equal_gc_spread,2,0.5;0.5,1024,101,1.0,0.05,official-featurewise,44.464626298069206,2.2232313149034604,0.0027713207198338807,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",2.0067224068813876,1.0033612034406938,0.659357892928669,0.664246659513;0.599621092933,3.9968028886505635e-15
