experiment_kind,model,dimension,component_te_spec,sample_size,source_scale,eta,bandwidth_orientation,replicates,sample_gc_mean,sample_gc_sd,sample_te_mean,sample_te_sd,sample_canonical_cs_mean,sample_canonical_cs_sd,kde_cs_mean,kde_cs_sd,theory_gc,theory_te,theory_cs,max_abs_gc_canonical_error
main,concentrated,2,1.0;0.0,512,1.0,0.02,samplewise,5,1.951866020196703,0.056510757098865466,0.9759330100983515,0.028255378549432733,0.7342028404389954,0.025681454527476683,0.13721888037795846,0.023237400056049132,2.0,1.0,0.7564417556472544,1.7985612998927536e-14
main,concentrated,2,1.0;0.0,512,1.0,0.05,official-featurewise,5,1.951866020196703,0.056510757098865466,0.9759330100983515,0.028255378549432733,0.7342028404389954,0.025681454527476683,0.0025904747603640033,0.0001754941056239007,2.0,1.0,0.7564417556472544,1.7985612998927536e-14
main,concentrated,2,1.0;0.0,512,1.0,0.05,samplewise,5,1.951866020196703,0.056510757098865466,0.9759330100983515,0.028255378549432733,0.7342028404389954,0.025681454527476683,0.21468901528196635,0.03324458829952626,2.0,1.0,0.7564417556472544,1.7985612998927536e-14
main,concentrated,2,1.0;0.0,512,1.0,0.2,official-featurewise,5,1.951866020196703,0.056510757098865466,0.9759330100983515,0.028255378549432733,0.7342028404389954,0.025681454527476683,1.0671837259224048e-06,1.2958427782769148e-07,2.0,1.0,0.7564417556472544,1.7985612998927536e-14
main,concentrated,2,1.0;0.0,512,1.0,0.2,samplewise,5,1.951866020196703,0.056510757098865466,0.9759330100983515,0.028255378549432733,0.7342028404389954,0.025681454527476683,0.08058498517455348,0.007685648078992262,2.0,1.0,0.7564417556472544,1.7985612998927536e-14
main,equal_gc_spread,2,0.5;0.5,1024,1.0,0.02,official-featurewise,5,1.9680964776708503,0.04478060965894666,0.9840482388354251,0.02239030482947333,0.6440142716869831,0.017479371574436013,0.059627151962086344,0.004826777594737538,2.0,1.0,0.6559778784857395,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,1.0,0.02,samplewise,5,1.9680964776708503,0.04478060965894666,0.9840482388354251,0.02239030482947333,0.6440142716869831,0.017479371574436013,0.16984582363749326,0.014128646226490744,2.0,1.0,0.6559778784857395,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,1.0,0.05,official-featurewise,5,1.9680964776708503,0.04478060965894666,0.9840482388354251,0.02239030482947333,0.6440142716869831,0.017479371574436013,0.0025916672595485577,0.00020678666920714405,2.0,1.0,0.6559778784857395,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,1.0,0.05,samplewise,5,1.9680964776708503,0.04478060965894666,0.9840482388354251,0.02239030482947333,0.6440142716869831,0.017479371574436013,0.22451299556851598,0.010481791705263086,2.0,1.0,0.6559778784857395,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,1.0,0.2,official-featurewise,5,1.9680964776708503,0.04478060965894666,0.9840482388354251,0.02239030482947333,0.6440142716869831,0.017479371574436013,3.386445236230884e-07,1.14355462800857e-08,2.0,1.0,0.6559778784857395,1.687538997430238e-14
main,equal_gc_spread,2,0.5;0.5,1024,1.0,0.2,samplewise,5,1.9680964776708503,0.04478060965894666,0.9840482388354251,0.02239030482947333,0.6440142716869831,0.017479371574436013,0.12037340773750849,0.00661820395691592,2.0,1.0,0.6559778784857395,1.687538997430238e-14
